,id,title,label,word2vec_cosine_dist,tf_idf_1_1_cosine_dist,tf_idf_1_1_word_app,tf_idf_1_1_matching,tf_idf_1_2_cosine_dist,tf_idf_1_2_word_app,tf_idf_1_2_matching,tf_idf_1_1_harmonic_mean,tf_idf_1_2_harmonic_mean
0,105_Real,"Aziz Ansari Why Trump Makes Me Scared for My Family
",1,0.8984211673408732,0.9526594786733432,0.22902848356748948,0.21138049579314397,0.9309336517741156,0.22902848356748948,0.2076499581757134,0.29566065953480863,0.29250438987866423
1,124_Real,"I Ran the C.I.A. Now I'm Endorsing Hillary Clinton.
",1,0.9265495395577412,0.9592838735171685,0.21130153655905493,0.19848210742182068,0.8477659698909772,0.21130153655905493,0.1946020543268074,0.27743727330269824,0.2714726748392423
2,151_Real,"Why Donald Trump Should Not Be President
",1,0.8207023060808655,0.7510370955838267,0.1577114752612624,0.13640249636284205,0.7323088069058353,0.1577114752612624,0.1312542556136637,0.199954290731909,0.19575808631596606
3,140_Real,"The rise of Donald Trump is a terrifying moment in American politics
",1,0.9580806064484645,0.8446690701403988,0.4958915934930111,0.48505185808369317,0.8143105908551984,0.4958915934930111,0.4825903471522824,0.5701145265040849,0.5642541296474001
4,138_Real,"The real Clinton email scandal is that a bullshit story has dominated the campaign
",1,0.9301280240823203,0.9041441042989972,0.45249910474617705,0.436879479011161,0.8980543198138182,0.45249910474617705,0.43603753927107375,0.5352432427629559,0.5341073820113754
5,114_Real,"Donald Trump Voters Just Hear Me Out
",1,0.9309395655016846,0.7687099293538084,0.18592935984809297,0.1685560060102221,0.7356538621960405,0.18592935984809297,0.16352074640693862,0.23786843786601167,0.233405752878579
6,104_Real,"An Open Letter to My Friends Who Support Donald Trump
",1,0.891825260864222,0.9502390604635395,0.20127506978321152,0.18285886921748798,0.9374049708335269,0.20127506978321152,0.1782539974294406,0.26111046069129634,0.2576196958744436
7,131_Real,"Millions of ordinary Americans support Donald Trump. Here's why
",1,0.9375177477865145,0.9465773750623065,0.2171732905226289,0.20624524165138,0.9165512930160542,0.2171732905226289,0.20158848798451132,0.2854518823974469,0.281524531919456
8,122_Real,"HILLARY CLINTON FOR PRESIDENT
",1,0.9316866562039331,0.9750752062194358,0.4075990911386014,0.402958213795807,0.9534428019746507,0.4075990911386014,0.4020534396853584,0.503305040043657,0.50088043866435
9,111_Real,"Donald Trump Hired Me As An Attorney. Please Donâ€™t Support Him For President.
",1,0.9451730784391071,0.9225220653197835,0.32178369663862894,0.3088061975884598,0.8986008510771305,0.32178369663862894,0.30508140958212404,0.4037717920722257,0.4000889579267851
10,152_Real,"Why The New Child Rape Case Filed Against Donald Trump Should Not Be Ignored
",1,0.9127658210459167,0.8036051142797499,0.3825753609563362,0.3748238263554891,0.7836846096160768,0.3825753609563362,0.3725068410647938,0.45968723588117244,0.4563152608407332
11,125_Real,"""It's Official """"Bernie Sanders Is Staying In The Race And Will Not Concede""""""
",1,0.9215974948236935,0.9298801349850055,0.19237805558164078,0.1842734676036868,0.8457913531264344,0.19237805558164078,0.1837196518484041,0.25640537556453913,0.2537320042249747
12,107_Real,"Blue Feed Red Feed
",1,0.8613950317145752,0.9445213988856654,0.1281283400654153,0.10881913516270354,0.9243211990299737,0.1281283400654153,0.10537678586313498,0.16617762334820382,0.16325370531826083
13,101_Real,"78 Republican politicians donors and officials who are supporting Hillary Clinton
",1,0.8822896779027046,0.757512860263407,0.5401147133913895,0.5155056581921317,0.686269536759054,0.5401147133913895,0.5067433656416966,0.5869220776787859,0.567966954663906
14,135_Real,"Stop Pretending You Don't Know Why People Hate Hillary Clinton
",1,0.905341067601899,0.7922129693171772,0.2176790505214998,0.19916691443237777,0.7721133872864522,0.2176790505214998,0.19698548050227638,0.2758082913345175,0.27358328524427494
